id,date,user,pc,activity
LGN-100517,2024-03-08 17:15:40,USER_PEER_EDWARD,PC-EDW-01,Logoff
LGN-100530,2024-03-11 08:30:49,USER_BENIGN_ALICE,PC-ALI-01,Logon
LGN-100531,2024-03-11 17:15:19,USER_BENIGN_ALICE,PC-ALI-01,Logoff
LGN-100542,2024-03-11 08:30:12,USER_INSIDER_MALORY,PC-MAL-01,Logon
LGN-100543,2024-03-11 17:15:24,USER_INSIDER_MALORY,PC-MAL-01,Logoff
LGN-100554,2024-03-11 08:30:24,USER_INSIDER_BOB,PC-BOB-01,Logon
LGN-100555,2024-03-11 17:15:51,USER_INSIDER_BOB,PC-BOB-01,Logoff
LGN-100568,2024-03-11 08:30:50,USER_PEER_CHARLIE,PC-CHA-01,Logon
LGN-100569,2024-03-11 17:15:20,USER_PEER_CHARLIE,PC-CHA-01,Logoff
LGN-100582,2024-03-11 08:30:43,USER_PEER_DIANA,PC-DIA-01,Logon
LGN-100583,2024-03-11 17:15:56,USER_PEER_DIANA,PC-DIA-01,Logoff
LGN-100597,2024-03-11 08:30:16,USER_PEER_EDWARD,PC-EDW-01,Logon
LGN-100598,2024-03-11 17:15:34,USER_PEER_EDWARD,PC-EDW-01,Logoff
LGN-100612,2024-03-12 08:30:42,USER_BENIGN_ALICE,PC-ALI-01,Logon
LGN-100613,2024-03-12 17:15:13,USER_BENIGN_ALICE,PC-ALI-01,Logoff
LGN-100628,2024-03-12 08:30:49,USER_INSIDER_MALORY,PC-MAL-01,Logon
LGN-100629,2024-03-12 17:15:43,USER_INSIDER_MALORY,PC-MAL-01,Logoff
LGN-100642,2024-03-12 08:30:43,USER_INSIDER_BOB,PC-BOB-01,Logon
LGN-100643,2024-03-12 17:15:11,USER_INSIDER_BOB,PC-BOB-01,Logoff
LGN-100658,2024-03-12 08:30:34,USER_PEER_CHARLIE,PC-CHA-01,Logon
LGN-100659,2024-03-12 17:15:48,USER_PEER_CHARLIE,PC-CHA-01,Logoff
LGN-100674,2024-03-12 08:30:31,USER_PEER_DIANA,PC-DIA-01,Logon
LGN-100675,2024-03-12 17:15:53,USER_PEER_DIANA,PC-DIA-01,Logoff
LGN-100689,2024-03-12 08:30:50,USER_PEER_EDWARD,PC-EDW-01,Logon
LGN-100690,2024-03-12 17:15:52,USER_PEER_EDWARD,PC-EDW-01,Logoff
LGN-100707,2024-03-13 08:30:39,USER_BENIGN_ALICE,PC-ALI-01,Logon
LGN-100708,2024-03-13 17:15:40,USER_BENIGN_ALICE,PC-ALI-01,Logoff
LGN-100718,2024-03-13 08:30:58,USER_INSIDER_MALORY,PC-MAL-01,Logon
LGN-100719,2024-03-13 17:15:44,USER_INSIDER_MALORY,PC-MAL-01,Logoff
LGN-100735,2024-03-13 08:30:37,USER_INSIDER_BOB,PC-BOB-01,Logon
LGN-100736,2024-03-13 17:15:18,USER_INSIDER_BOB,PC-BOB-01,Logoff
LGN-100749,2024-03-13 08:30:45,USER_PEER_CHARLIE,PC-CHA-01,Logon
LGN-100750,2024-03-13 17:15:27,USER_PEER_CHARLIE,PC-CHA-01,Logoff
LGN-100765,2024-03-13 08:30:29,USER_PEER_DIANA,PC-DIA-01,Logon
LGN-100766,2024-03-13 17:15:21,USER_PEER_DIANA,PC-DIA-01,Logoff
LGN-100776,2024-03-13 08:30:57,USER_PEER_EDWARD,PC-EDW-01,Logon
LGN-100777,2024-03-13 17:15:10,USER_PEER_EDWARD,PC-EDW-01,Logoff
LGN-100789,2024-03-14 08:30:47,USER_BENIGN_ALICE,PC-ALI-01,Logon
LGN-100790,2024-03-14 17:15:50,USER_BENIGN_ALICE,PC-ALI-01,Logoff
LGN-100804,2024-03-14 08:30:10,USER_INSIDER_MALORY,PC-MAL-01,Logon
LGN-100805,2024-03-14 17:15:29,USER_INSIDER_MALORY,PC-MAL-01,Logoff
LGN-100820,2024-03-14 08:30:48,USER_INSIDER_BOB,PC-BOB-01,Logon
LGN-100821,2024-03-14 17:15:54,USER_INSIDER_BOB,PC-BOB-01,Logoff
LGN-100838,2024-03-14 08:30:23,USER_PEER_CHARLIE,PC-CHA-01,Logon
LGN-100839,2024-03-14 17:15:13,USER_PEER_CHARLIE,PC-CHA-01,Logoff
LGN-100850,2024-03-14 08:30:12,USER_PEER_DIANA,PC-DIA-01,Logon
LGN-100851,2024-03-14 17:15:49,USER_PEER_DIANA,PC-DIA-01,Logoff
LGN-100866,2024-03-14 08:30:37,USER_PEER_EDWARD,PC-EDW-01,Logon
LGN-100867,2024-03-14 17:15:48,USER_PEER_EDWARD,PC-EDW-01,Logoff
LGN-100880,2024-03-15 08:45:00,USER_BENIGN_ALICE,PC-ALI-01,Logon
LGN-100881,2024-03-15 17:30:00,USER_BENIGN_ALICE,PC-ALI-01,Logoff
LGN-100882,2024-03-15 09:00:00,USER_INSIDER_MALORY,PC-MAL-01,Logon
LGN-100883,2024-03-15 19:30:00,USER_INSIDER_MALORY,PC-MAL-01,Logoff
LGN-100887,2024-03-15 08:50:00,USER_INSIDER_BOB,PC-BOB-01,Logon
LGN-100888,2024-03-15 17:10:00,USER_INSIDER_BOB,PC-BOB-01,Logoff
LGN-100889,2024-03-15 08:30:00,USER_PEER_CHARLIE,PC-CHA-01,Logon
LGN-100890,2024-03-15 17:15:00,USER_PEER_CHARLIE,PC-CHA-01,Logoff
LGN-100891,2024-03-15 08:30:00,USER_PEER_DIANA,PC-DIA-01,Logon
LGN-100892,2024-03-15 17:15:00,USER_PEER_DIANA,PC-DIA-01,Logoff
LGN-100893,2024-03-15 08:30:00,USER_PEER_EDWARD,PC-EDW-01,Logon
LGN-100894,2024-03-15 17:15:00,USER_PEER_EDWARD,PC-EDW-01,Logoff
LGN-100895,2024-03-16 09:00:00,USER_INSIDER_MALORY,PC-MAL-01,Logon
LGN-100896,2024-03-16 19:30:00,USER_INSIDER_MALORY,PC-MAL-01,Logoff
LGN-100900,2024-03-17 09:00:00,USER_INSIDER_MALORY,PC-MAL-01,Logon
LGN-100901,2024-03-17 19:30:00,USER_INSIDER_MALORY,PC-MAL-01,Logoff
LGN-100905,2024-03-18 08:45:00,USER_BENIGN_ALICE,PC-ALI-01,Logon
LGN-100906,2024-03-18 17:30:00,USER_BENIGN_ALICE,PC-ALI-01,Logoff
LGN-100907,2024-03-18 09:00:00,USER_INSIDER_MALORY,PC-MAL-01,Logon
LGN-100908,2024-03-18 19:30:00,USER_INSIDER_MALORY,PC-MAL-01,Logoff
LGN-100912,2024-03-18 08:50:00,USER_INSIDER_BOB,PC-BOB-01,Logon
LGN-100913,2024-03-18 17:10:00,USER_INSIDER_BOB,PC-BOB-01,Logoff
LGN-100914,2024-03-18 08:30:00,USER_PEER_CHARLIE,PC-CHA-01,Logon
LGN-100915,2024-03-18 20:00:00,USER_PEER_CHARLIE,PC-CHA-01,Logoff
LGN-100916,2024-03-18 08:30:00,USER_PEER_DIANA,PC-DIA-01,Logon
LGN-100917,2024-03-18 20:00:00,USER_PEER_DIANA,PC-DIA-01,Logoff
LGN-100918,2024-03-18 08:30:00,USER_PEER_EDWARD,PC-EDW-01,Logon
LGN-100919,2024-03-18 20:00:00,USER_PEER_EDWARD,PC-EDW-01,Logoff
LGN-100920,2024-03-19 08:45:00,USER_BENIGN_ALICE,PC-ALI-01,Logon
LGN-100921,2024-03-19 17:30:00,USER_BENIGN_ALICE,PC-ALI-01,Logoff
LGN-100922,2024-03-19 02:15:00,USER_INSIDER_MALORY,PC-MAL-01,Logon
LGN-100960,2024-03-19 03:45:00,USER_INSIDER_MALORY,PC-MAL-01,Logoff
LGN-100961,2024-03-19 08:50:00,USER_INSIDER_BOB,PC-BOB-01,Logon
LGN-100962,2024-03-19 17:10:00,USER_INSIDER_BOB,PC-BOB-01,Logoff
LGN-100963,2024-03-19 08:30:00,USER_PEER_CHARLIE,PC-CHA-01,Logon
LGN-100964,2024-03-19 17:15:00,USER_PEER_CHARLIE,PC-CHA-01,Logoff
LGN-100965,2024-03-19 08:30:00,USER_PEER_DIANA,PC-DIA-01,Logon
LGN-100966,2024-03-19 17:15:00,USER_PEER_DIANA,PC-DIA-01,Logoff
LGN-100967,2024-03-19 08:30:00,USER_PEER_EDWARD,PC-EDW-01,Logon
LGN-100968,2024-03-19 17:15:00,USER_PEER_EDWARD,PC-EDW-01,Logoff
LGN-100969,2024-03-20 01:12:00,USER_BENIGN_ALICE,PC-ALI-01,Logon
LGN-101010,2024-03-20 05:45:00,USER_BENIGN_ALICE,PC-ALI-01,Logoff
LGN-101011,2024-03-20 02:15:00,USER_INSIDER_MALORY,PC-MAL-01,Logon
LGN-101049,2024-03-20 03:45:00,USER_INSIDER_MALORY,PC-MAL-01,Logoff
LGN-101050,2024-03-20 01:45:00,USER_INSIDER_BOB,PC-BOB-01,Logon
LGN-101073,2024-03-20 02:50:00,USER_INSIDER_BOB,PC-BOB-01,Logoff
LGN-101074,2024-03-20 08:30:00,USER_PEER_CHARLIE,PC-CHA-01,Logon
LGN-101075,2024-03-20 17:15:00,USER_PEER_CHARLIE,PC-CHA-01,Logoff
LGN-101076,2024-03-20 08:30:00,USER_PEER_DIANA,PC-DIA-01,Logon
LGN-101077,2024-03-20 17:15:00,USER_PEER_DIANA,PC-DIA-01,Logoff
LGN-101078,2024-03-20 08:30:00,USER_PEER_EDWARD,PC-EDW-01,Logon
LGN-101079,2024-03-20 17:15:00,USER_PEER_EDWARD,PC-EDW-01,Logoff
LGN-101080,2024-03-21 08:45:00,USER_BENIGN_ALICE,PC-ALI-01,Logon
LGN-101081,2024-03-21 17:30:00,USER_BENIGN_ALICE,PC-ALI-01,Logoff
LGN-101082,2024-03-21 02:15:00,USER_INSIDER_MALORY,PC-MAL-01,Logon
LGN-101120,2024-03-21 03:45:00,USER_INSIDER_MALORY,PC-MAL-01,Logoff
LGN-101121,2024-03-21 08:50:00,USER_INSIDER_BOB,PC-BOB-01,Logon
LGN-101122,2024-03-21 17:10:00,USER_INSIDER_BOB,PC-BOB-01,Logoff
LGN-101123,2024-03-21 08:30:00,USER_PEER_CHARLIE,PC-CHA-01,Logon
LGN-101124,2024-03-21 17:15:00,USER_PEER_CHARLIE,PC-CHA-01,Logoff
LGN-101125,2024-03-21 08:30:00,USER_PEER_DIANA,PC-DIA-01,Logon
LGN-101126,2024-03-21 17:15:00,USER_PEER_DIANA,PC-DIA-01,Logoff
LGN-101127,2024-03-21 08:30:00,USER_PEER_EDWARD,PC-EDW-01,Logon
LGN-101128,2024-03-21 17:15:00,USER_PEER_EDWARD,PC-EDW-01,Logoff
LGN-101129,2024-03-22 08:45:00,USER_BENIGN_ALICE,PC-ALI-01,Logon
LGN-101130,2024-03-22 17:30:00,USER_BENIGN_ALICE,PC-ALI-01,Logoff
LGN-101131,2024-03-22 02:15:00,USER_INSIDER_MALORY,PC-MAL-01,Logon
LGN-101169,2024-03-22 03:45:00,USER_INSIDER_MALORY,PC-MAL-01,Logoff
LGN-101170,2024-03-22 08:50:00,USER_INSIDER_BOB,PC-BOB-01,Logon
LGN-101171,2024-03-22 17:10:00,USER_INSIDER_BOB,PC-BOB-01,Logoff
LGN-101172,2024-03-22 08:30:00,USER_PEER_CHARLIE,PC-CHA-01,Logon
LGN-101173,2024-03-22 17:15:00,USER_PEER_CHARLIE,PC-CHA-01,Logoff
LGN-101174,2024-03-22 08:30:00,USER_PEER_DIANA,PC-DIA-01,Logon
LGN-101175,2024-03-22 17:15:00,USER_PEER_DIANA,PC-DIA-01,Logoff
LGN-101176,2024-03-22 08:30:00,USER_PEER_EDWARD,PC-EDW-01,Logon
LGN-101177,2024-03-22 17:15:00,USER_PEER_EDWARD,PC-EDW-01,Logoff
LGN-101178,2024-03-23 02:15:00,USER_INSIDER_MALORY,PC-MAL-01,Logon
LGN-101216,2024-03-23 03:45:00,USER_INSIDER_MALORY,PC-MAL-01,Logoff
LGN-101217,2024-03-24 02:15:00,USER_INSIDER_MALORY,PC-MAL-01,Logon
LGN-101255,2024-03-24 03:45:00,USER_INSIDER_MALORY,PC-MAL-01,Logoff
LGN-101256,2024-03-25 08:45:00,USER_BENIGN_ALICE,PC-ALI-01,Logon
LGN-101257,2024-03-25 17:30:00,USER_BENIGN_ALICE,PC-ALI-01,Logoff
LGN-101258,2024-03-25 02:15:00,USER_INSIDER_MALORY,PC-MAL-01,Logon
LGN-101296,2024-03-25 03:45:00,USER_INSIDER_MALORY,PC-MAL-01,Logoff
LGN-101297,2024-03-25 08:50:00,USER_INSIDER_BOB,PC-BOB-01,Logon
LGN-101298,2024-03-25 17:10:00,USER_INSIDER_BOB,PC-BOB-01,Logoff
LGN-101299,2024-03-25 08:30:00,USER_PEER_CHARLIE,PC-CHA-01,Logon
LGN-101300,2024-03-25 17:15:00,USER_PEER_CHARLIE,PC-CHA-01,Logoff
LGN-101301,2024-03-25 08:30:00,USER_PEER_DIANA,PC-DIA-01,Logon
LGN-101302,2024-03-25 17:15:00,USER_PEER_DIANA,PC-DIA-01,Logoff
LGN-101303,2024-03-25 08:30:00,USER_PEER_EDWARD,PC-EDW-01,Logon
LGN-101304,2024-03-25 17:15:00,USER_PEER_EDWARD,PC-EDW-01,Logoff
LGN-101305,2024-03-26 08:45:00,USER_BENIGN_ALICE,PC-ALI-01,Logon
LGN-101306,2024-03-26 17:30:00,USER_BENIGN_ALICE,PC-ALI-01,Logoff
LGN-101307,2024-03-26 02:15:00,USER_INSIDER_MALORY,PC-MAL-01,Logon
LGN-101345,2024-03-26 03:45:00,USER_INSIDER_MALORY,PC-MAL-01,Logoff
LGN-101346,2024-03-26 08:50:00,USER_INSIDER_BOB,PC-BOB-01,Logon
LGN-101347,2024-03-26 17:10:00,USER_INSIDER_BOB,PC-BOB-01,Logoff
LGN-101348,2024-03-26 08:30:00,USER_PEER_CHARLIE,PC-CHA-01,Logon
LGN-101349,2024-03-26 17:15:00,USER_PEER_CHARLIE,PC-CHA-01,Logoff
LGN-101350,2024-03-26 08:30:00,USER_PEER_DIANA,PC-DIA-01,Logon
LGN-101351,2024-03-26 17:15:00,USER_PEER_DIANA,PC-DIA-01,Logoff
LGN-101352,2024-03-26 08:30:00,USER_PEER_EDWARD,PC-EDW-01,Logon
LGN-101353,2024-03-26 17:15:00,USER_PEER_EDWARD,PC-EDW-01,Logoff
LGN-101354,2024-03-27 08:45:00,USER_BENIGN_ALICE,PC-ALI-01,Logon
LGN-101355,2024-03-27 17:30:00,USER_BENIGN_ALICE,PC-ALI-01,Logoff
LGN-101356,2024-03-27 02:15:00,USER_INSIDER_MALORY,PC-MAL-01,Logon
LGN-101394,2024-03-27 03:45:00,USER_INSIDER_MALORY,PC-MAL-01,Logoff
LGN-101395,2024-03-27 08:50:00,USER_INSIDER_BOB,PC-BOB-01,Logon
LGN-101396,2024-03-27 17:10:00,USER_INSIDER_BOB,PC-BOB-01,Logoff
LGN-101397,2024-03-27 08:30:00,USER_PEER_CHARLIE,PC-CHA-01,Logon
LGN-101398,2024-03-27 17:15:00,USER_PEER_CHARLIE,PC-CHA-01,Logoff
LGN-101399,2024-03-27 08:30:00,USER_PEER_DIANA,PC-DIA-01,Logon
LGN-101400,2024-03-27 17:15:00,USER_PEER_DIANA,PC-DIA-01,Logoff
LGN-101401,2024-03-27 08:30:00,USER_PEER_EDWARD,PC-EDW-01,Logon
LGN-101402,2024-03-27 17:15:00,USER_PEER_EDWARD,PC-EDW-01,Logoff
LGN-101403,2024-03-28 08:45:00,USER_BENIGN_ALICE,PC-ALI-01,Logon
LGN-101404,2024-03-28 17:30:00,USER_BENIGN_ALICE,PC-ALI-01,Logoff
LGN-101405,2024-03-28 02:15:00,USER_INSIDER_MALORY,PC-MAL-01,Logon
LGN-101443,2024-03-28 03:45:00,USER_INSIDER_MALORY,PC-MAL-01,Logoff
LGN-101444,2024-03-28 08:50:00,USER_INSIDER_BOB,PC-BOB-01,Logon
LGN-101445,2024-03-28 17:10:00,USER_INSIDER_BOB,PC-BOB-01,Logoff
LGN-101446,2024-03-28 08:30:00,USER_PEER_CHARLIE,PC-CHA-01,Logon
LGN-101447,2024-03-28 17:15:00,USER_PEER_CHARLIE,PC-CHA-01,Logoff
LGN-101448,2024-03-28 08:30:00,USER_PEER_DIANA,PC-DIA-01,Logon
LGN-101449,2024-03-28 17:15:00,USER_PEER_DIANA,PC-DIA-01,Logoff
LGN-101450,2024-03-28 08:30:00,USER_PEER_EDWARD,PC-EDW-01,Logon
LGN-101451,2024-03-28 17:15:00,USER_PEER_EDWARD,PC-EDW-01,Logoff
LGN-101452,2024-03-29 08:45:00,USER_BENIGN_ALICE,PC-ALI-01,Logon
LGN-101453,2024-03-29 17:30:00,USER_BENIGN_ALICE,PC-ALI-01,Logoff
LGN-101454,2024-03-29 02:15:00,USER_INSIDER_MALORY,PC-MAL-01,Logon
LGN-101492,2024-03-29 03:45:00,USER_INSIDER_MALORY,PC-MAL-01,Logoff
LGN-101493,2024-03-29 08:50:00,USER_INSIDER_BOB,PC-BOB-01,Logon
LGN-101494,2024-03-29 17:10:00,USER_INSIDER_BOB,PC-BOB-01,Logoff
LGN-101495,2024-03-29 08:30:00,USER_PEER_CHARLIE,PC-CHA-01,Logon
LGN-101496,2024-03-29 17:15:00,USER_PEER_CHARLIE,PC-CHA-01,Logoff
LGN-101497,2024-03-29 08:30:00,USER_PEER_DIANA,PC-DIA-01,Logon
LGN-101498,2024-03-29 17:15:00,USER_PEER_DIANA,PC-DIA-01,Logoff
LGN-101499,2024-03-29 08:30:00,USER_PEER_EDWARD,PC-EDW-01,Logon
LGN-101500,2024-03-29 17:15:00,USER_PEER_EDWARD,PC-EDW-01,Logoff
LGN-101501,2024-03-30 02:15:00,USER_INSIDER_MALORY,PC-MAL-01,Logon
LGN-101539,2024-03-30 03:45:00,USER_INSIDER_MALORY,PC-MAL-01,Logoff
